id,KindID,Name,SortOrder,IsActive
760,561,Общая информация,2218,1
761,591,Общая информация,2218,1
762,591,Основные,1534,1
763,591,Конструктивные характеристики,7750,1
764,591,Размеры и вес,4178,1
765,612,Общая информация,2218,1
766,612,Основные,1534,1
767,612,Свойства,3000,1
768,630,Режимы и функции,2500,1
769,630,Общая информация,2218,1
770,630,Размеры и вес,4178,1
771,635,Общая информация,2218,1
772,635,Основные,1534,1
773,635,Комплектация,5892,1
774,635,Размеры и вес,4178,1
775,635,Питание,7607,1
776,635,Технические характеристики,3392,1
777,580,Основные,1534,1
778,580,Функциональные особенности,4270,1
779,580,Общая информация,2218,1
780,580,Комплектация,5892,1
781,602,Общая информация,2218,1
782,602,Основные,1534,1
783,602,Особенности конструкции,2750,1
784,602,Комплектация,5892,1
786,602,Габариты и вес,5286,1
787,602,Размеры отделения для устройства,7000,1
788,615,Основные,1534,1
789,615,Общая информация,2218,1
790,615,Особенности конструкции,2750,1
791,625,Основные,1534,1
792,625,Технические характеристики,3392,1
793,625,Функциональные особенности,4270,1
794,625,Комплектация,5892,1
795,625,Аккумулятор,5556,1
796,625,Размеры и вес,4178,1
797,625,Общая информация,2218,1
798,576,Общая информация,2218,1
799,576,Основные,1534,1
800,46,Основные,1534,1
801,46,Общая информация,2218,1
802,46,Технические характеристики,3392,1
803,46,Размеры и вес,4178,1
804,46,Комплектация,5892,1
805,47,Общая информация,2218,1
806,47,Технические характеристики,3392,1
807,47,Комплектация,5892,1
808,47,Размеры и вес,4178,1
809,48,Конструкция,3773,1
810,48,Размеры и вес,4178,1
811,48,Функции,5812,1
812,48,Интерфейсы,6404,1
813,48,Аккумулятор и время работы,9526,1
814,48,Комплектация,5892,1
815,48,Общая информация,2218,1
816,52,Основные,1534,1
817,52,Технические характеристики,3392,1
818,52,Функциональность,7833,1
819,52,Интерфейсы,6404,1
820,52,Размеры и вес,4178,1
821,52,Общая информация,2218,1
822,52,Комплектация,5892,1
823,50,Общая информация,2218,1
824,50,Основные,1534,1
825,50,Технические характеристики,3392,1
826,50,Функциональность,7833,1
827,50,Интерфейсы,6404,1
828,50,Размеры и вес,4178,1
829,54,Общая информация,2218,1
830,54,Основные,1534,1
831,54,Процессор,4667,1
832,54,Конструкция,3773,1
833,54,Размеры и вес,4178,1
834,54,Экран,5688,1
835,54,Работа с изображением,6875,1
836,54,Фронтальная камера,8000,1
837,54,Работа со звуком,7750,1
838,54,Память,6625,1
839,54,Интерфейсы,6404,1
840,54,Датчики,10167,1
841,54,Навигация,9778,1
