id,GroupID,Name,Description,IsActive,SortOrder
575,90,Тип накопителя,,1,905750
576,90,Объём,,1,905760
577,90,Форм-фактор,,1,905770
578,90,Интерфейс,,1,905780
579,90,Скорость вращения шпинделя,,1,905790
580,91,Буфер,,1,915800
581,91,Аппаратное шифрование,,1,915810
582,91,Размер сектора,,1,915820
583,91,Скорость последовательного чтения,,1,915830
584,91,Скорость последовательной записи,,1,915840
585,91,Уровень шума при чтении/записи,,1,915850
586,91,Уровень шума в режиме ожидания,,1,915860
587,91,Ударная нагрузка при работе,,1,915870
588,91,Ударная нагрузка в нерабочем состоянии,,1,915880
589,91,Энергопотребление (чтение/запись),,1,915890
590,91,Энергопотребление (ожидание),,1,915900
591,91,Толщина,,1,915910
592,91,Количество пластин,,1,915920
593,91,Время наработки на отказ (МТBF),,1,915930
594,91,Емкость одной пластины,,1,915940
595,91,Среднее время доступа,,1,915950
596,92,Блок питания,,1,925960
597,92,Тип корпуса,,1,925970
598,92,Игровой,,0,925980
599,93,Цвет корпуса,,1,935990
600,93,Материал корпуса,,1,936000
601,93,Макс. размер материнской платы,,1,936010
602,93,Совместимые материнские платы,,1,936020
603,93,Расположение блока питания,,1,936030
604,93,Охлаждение,,1,936040
605,93,Поддержка жидкостного охлаждения,,1,936050
606,93,Количество мест для вентиляторов,,1,936060
607,93,Установленные кулеры,,1,936070
608,93,Шумоизоляция,,1,936080
609,93,"Отсеки 5.25""",,1,936090
610,93,"Внешние отсеки 3.5""",,1,936100
611,93,"Внутренние отсеки 3.5""",,1,936110
612,93,"Отсеки 2.5""",,1,936120
613,93,"Комбинированный отсек для 2.5""/3.5""",,1,936130
614,93,Съёмная корзина жестких дисков,,1,936140
615,93,Безвинтовое крепление дисков,,1,936150
616,93,Слоты расширения,,1,936160
617,93,Пылевые фильтры,,1,936170
618,93,Прозрачное окно,,1,936180
619,93,Подсветка корпуса,,1,936190
620,93,Контроллер подсветки,,1,936200
621,93,Контроллер вращения вентиляторов,,1,936210
622,93,Макс. длина видеокарты,,1,936220
623,93,Макс. высота процессорного кулера,,1,936230
624,93,Макс. длина блока питания,,1,936240
625,93,Крепление VESA,,1,936250
626,94,Дверца,,1,946260
627,94,Замок,,1,946270
628,94,Информационный дисплей,,1,946280
629,94,USB 2.0,,1,946290
630,94,USB 3.0,,1,946300
631,94,USB 3.1 Type-C,,1,946310
632,94,"FireWire (IEEE 1394, iLink)",,1,946320
633,94,eSATA,,1,946330
634,94,Док-станция для винчестеров,,1,946340
635,94,Кардридер,,1,946350
636,94,Аудио выход,,1,946360
637,94,Вход для микрофона,,1,946370
638,95,Высота,,1,956380
639,95,Ширина,,1,956390
640,95,Глубина,,1,956400
641,95,Вес,,1,956410
642,93,Толщина стенок,,1,936420
643,96,Комплект поставки,,1,966430
644,93,Цвет подсветки кулера,,1,936440
645,91,Объем SSD,,1,916450
646,97,Стандарт блока питания,,1,976460
647,97,Коррекция фактора мощности (PFC),,1,976470
648,97,Сертификат 80 PLUS,,1,976480
649,98,Модульное подключение кабелей питания,,1,986490
650,98,Питание материнской платы,,1,986500
651,98,CPU 4 pin,,1,986510
652,98,CPU 8 pin,,1,986520
653,98,FDD 4 pin,,1,986530
654,98,IDE 4 pin,,1,986540
655,98,SATA,,1,986550
656,98,VGA 6 pin,,1,986560
