id,GoodID,CatalogMarketID,Price,WriteDate
890783,247,383,2695.00,2021-06-24 13:59:22.000000
890788,247,384,3559.00,2021-06-24 13:59:22.000000
890789,247,288,2695.00,2021-06-24 13:59:22.000000
890790,255,80,1164.00,2021-06-24 13:59:22.000000
890803,255,28,989.52,2021-08-25 00:02:06.000000
890809,255,9,1013.70,2021-08-25 00:02:06.000000
890810,255,12,1016.52,2021-09-08 22:51:06.000000
890811,255,10,974.77,2021-09-11 11:08:05.000000
890817,255,792,1067.20,2021-08-25 00:02:06.000000
890828,263,833,3590.00,2021-06-24 13:59:22.000000
890847,214,41,2017.19,2021-06-24 13:59:22.000000
890869,214,792,2103.06,2021-09-10 23:04:05.000000
890877,269,833,2470.00,2021-06-24 13:59:22.000000
890878,278,328,1448.00,2021-07-02 01:08:10.000000
890881,278,9,1448.00,2021-07-08 14:35:54.000000
890882,278,288,1448.00,2021-06-24 13:59:23.000000
890883,274,183,3249.91,2021-07-15 12:20:27.000000
890884,274,174,3249.91,2021-07-14 20:54:00.000000
890885,274,328,3249.91,2021-07-14 20:54:00.000000
890886,274,393,3255.00,2021-06-24 13:59:23.000000
890889,274,9,3339.65,2021-07-15 00:37:43.000000
890890,274,28,3249.91,2021-07-15 00:37:43.000000
890895,274,383,3249.91,2021-07-14 20:54:00.000000
890906,274,288,3254.00,2021-07-13 19:52:35.000000
890918,286,14,1362.88,2021-06-24 13:59:23.000000
890920,310,183,1470.00,2021-06-24 13:59:23.000000
890921,310,328,1470.00,2021-06-24 13:59:23.000000
890922,310,393,1470.00,2021-06-24 13:59:23.000000
890923,310,175,1470.00,2021-06-24 13:59:23.000000
890924,310,28,1470.00,2021-07-15 00:37:45.000000
890929,310,288,1470.00,2021-06-24 13:59:23.000000
890930,281,80,1990.00,2021-09-01 18:59:04.000000
890963,272,80,997.34,2021-06-24 13:59:23.000000
890964,272,328,906.87,2021-07-15 12:20:27.000000
890965,272,82,1006.84,2021-07-13 19:52:33.000000
890966,272,393,909.00,2021-06-24 13:59:23.000000
890967,272,175,899.00,2021-06-24 13:59:23.000000
890968,272,79,1014.58,2021-07-09 11:17:11.000000
890975,272,9,905.70,2021-07-14 17:09:42.000000
890984,272,19,1078.02,2021-07-05 19:43:47.000000
890989,272,10,1010.38,2021-07-14 10:23:59.000000
890992,272,28,899.00,2021-07-15 00:37:43.000000
890996,272,157,899.00,2021-06-24 13:59:23.000000
890998,272,43,999.00,2021-06-24 13:59:23.000000
891002,272,12,1016.88,2021-07-15 12:20:27.000000
891007,309,80,6055.35,2021-08-14 13:57:29.000000
891010,309,175,3674.00,2021-08-25 00:02:07.000000
891011,309,328,3674.00,2021-09-07 13:41:07.000000
891013,309,9,4049.36,2021-09-13 20:25:05.000000
891015,309,449,4294.22,2021-09-13 17:24:04.000000
891028,309,792,4721.73,2021-09-13 14:23:04.000000
891033,309,128,4799.00,2021-06-24 13:59:24.000000
891035,309,383,3674.00,2021-07-02 01:08:11.000000
891066,291,157,1200.00,2021-09-07 16:41:06.000000
891128,330,43,199.00,2021-08-31 18:51:05.000000
891146,319,328,1651.61,2021-07-15 12:20:28.000000
891148,319,9,1554.26,2021-07-02 03:11:00.000000
891160,319,28,1554.26,2021-06-26 00:11:05.000000
891161,319,792,1830.03,2021-07-15 14:54:51.000000
891166,338,328,1166.00,2021-07-02 01:08:12.000000
891167,338,393,1166.00,2021-06-24 13:59:24.000000
891173,338,383,1166.00,2021-06-24 13:59:24.000000
891174,338,28,1243.24,2021-07-15 00:37:47.000000
891175,338,157,1234.00,2021-06-24 13:59:24.000000
891179,338,9,1343.38,2021-07-09 23:07:14.000000
891184,338,288,1166.00,2021-06-24 13:59:24.000000
891185,336,328,309.00,2021-06-24 13:59:24.000000
